symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol,roa,leverage,nic_prod_code
SBIN.NS,STATE BANK OF INDIA,13499,AMINES & PLASTICIZERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.118888073,-0.23439478,-1,-1.719802442,-0.760096418,9.0207,0.6131,20
SBIN.NS,STATE BANK OF INDIA,13499,AMINES & PLASTICIZERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.121494149,-0.14160362,-1,-1.719802442,-0.760096418,9.0207,0.6131,20
SBIN.NS,STATE BANK OF INDIA,14897,ANANT RAJ LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.483411297,-0.592721864,-1,-1.041620572,-0.571496448,0.6488,0.5614,41
SBIN.NS,STATE BANK OF INDIA,14897,ANANT RAJ LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.678154735,-0.435334318,-1,-1.041620572,-0.571496448,0.6488,0.5614,41
SBIN.NS,STATE BANK OF INDIA,15270,ANDHRA PAPER LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.381819774,-0.182351225,-1,-1.284039718,-0.79399963,6.9557,0.3837,17
SBIN.NS,STATE BANK OF INDIA,15270,ANDHRA PAPER LTD.,NSE,0.247401023,0.00161674,1,Public,0,3,2.455698882,1.594457275,-1,-1.284039718,-0.79399963,6.9557,0.3837,17
SBIN.NS,STATE BANK OF INDIA,15246,ANDHRA PETROCHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,0.53327014,0.223589283,-2,-0.750091735,-0.429502536,16.0696,0.4518,20
SBIN.NS,STATE BANK OF INDIA,15246,ANDHRA PETROCHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,0,-1,-0.520724816,-0.376006415,-2,-0.750091735,-0.429502536,16.0696,0.4518,20
SBIN.NS,STATE BANK OF INDIA,520921,ANGEL FIBERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.603770833,0.423857167,0,0.466784837,0.493769759,4.7834,1.609,13
SBIN.NS,STATE BANK OF INDIA,520921,ANGEL FIBERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.524656785,0.875038216,0,0.466784837,0.493769759,4.7834,1.609,13
SBIN.NS,STATE BANK OF INDIA,16198,ANJANI SYNTHETICS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.363724532,-0.622973475,-1,-0.406375935,-0.407932663,1.4784,1.4121,13
SBIN.NS,STATE BANK OF INDIA,16198,ANJANI SYNTHETICS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.02302489,0.287382476,-1,-0.406375935,-0.407932663,1.4784,1.4121,13
SBIN.NS,STATE BANK OF INDIA,17809,APCOTEX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.181576565,-0.628115158,1,0.147253224,0.0169479,12.1801,0.0705,20
SBIN.NS,STATE BANK OF INDIA,17809,APCOTEX INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,9.35925606,2.977669989,1,0.147253224,0.0169479,12.1801,0.0705,20
SBIN.NS,STATE BANK OF INDIA,457276,APOLLO MICRO SYSTEMS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-2,-1.904440352,-1.048571385,-3,-2.422639727,-1.43261763,5.4049,0.339,26
SBIN.NS,STATE BANK OF INDIA,457276,APOLLO MICRO SYSTEMS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.51642835,-1.225225776,-3,-2.422639727,-1.43261763,5.4049,0.339,26
SBIN.NS,STATE BANK OF INDIA,377163,ARCHIDPLY INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,0.005004939,-0.284908049,-1,-0.969336915,-0.817154642,0.9231,0.528,16
SBIN.NS,STATE BANK OF INDIA,377163,ARCHIDPLY INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.189946081,-0.396987211,-1,-0.969336915,-0.817154642,0.9231,0.528,16
SBIN.NS,STATE BANK OF INDIA,19291,AREX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.32831009,0.117254414,0,0.605585652,0.886022851,6.9988,1.2442,13
SBIN.NS,STATE BANK OF INDIA,19291,AREX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.055983617,0.267221909,0,0.605585652,0.886022851,6.9988,1.2442,13
SBIN.NS,STATE BANK OF INDIA,21042,ARVIND LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.584430054,-0.792029393,0,0.942466115,0.208562309,3.2334,0.8114,13
