symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol
SBIN.NS,STATE BANK OF INDIA,504951,AMIN TANNERY LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.03496694707997326,0.16077728077917952,0,0.3625579724397504,0.5178014638905565
SBIN.NS,STATE BANK OF INDIA,13499,AMINES & PLASTICIZERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.11888807347779655,-0.23439477967333536,-1,-1.7198024417813587,-0.760096417761764
SBIN.NS,STATE BANK OF INDIA,13499,AMINES & PLASTICIZERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.12149414914681601,-0.14160362037550242,-1,-1.7198024417813587,-0.760096417761764
SBIN.NS,STATE BANK OF INDIA,14897,ANANT RAJ LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.6781547348214192,-0.4353343176556392,-1,-1.0416205723566294,-0.5714964479356636
SBIN.NS,STATE BANK OF INDIA,14897,ANANT RAJ LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.48341129676633193,-0.5927218638934423,-1,-1.0416205723566294,-0.5714964479356636
SBIN.NS,STATE BANK OF INDIA,15270,ANDHRA PAPER LTD.,NSE,0.247401023,0.00161674,1,Public,0,3,2.4556988823233104,1.5944572745908128,-1,-1.2840397175032998,-0.7939996304654234
SBIN.NS,STATE BANK OF INDIA,15270,ANDHRA PAPER LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.3818197740324508,-0.18235122527641395,-1,-1.2840397175032998,-0.7939996304654234
SBIN.NS,STATE BANK OF INDIA,15246,ANDHRA PETROCHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,0,-1,-0.5207248160146039,-0.3760064149195472,-2,-0.7500917349536301,-0.4295025363875707
SBIN.NS,STATE BANK OF INDIA,15246,ANDHRA PETROCHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,0.5332701397778731,0.22358928253717564,-2,-0.7500917349536301,-0.4295025363875707
SBIN.NS,STATE BANK OF INDIA,520921,ANGEL FIBERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.5246567854720845,0.87503821607109,0,0.46678483663186865,0.4937697588079893
SBIN.NS,STATE BANK OF INDIA,520921,ANGEL FIBERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.603770832708859,0.42385716722937633,0,0.46678483663186865,0.4937697588079893
SBIN.NS,STATE BANK OF INDIA,16198,ANJANI SYNTHETICS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.02302488974966438,0.2873824760325305,-1,-0.4063759349244074,-0.40793266303528614
