banker_name,co_code,company_name,bnkhist_date
AXIS BANK LTD.,449579,JINDAL POLY INVST. & FINANCE CO. LTD.,31-03-2020
AXIS BANK LTD.,512985,JINDAL STAINLESS (HISAR) LTD.,31-03-2020
AXIS BANK LTD.,339130,JINDAL STAINLESS LTD.,31-03-2020
AXIS BANK LTD.,394656,JUBILANT INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,110698,JUBILANT PHARMOVA LTD.,31-03-2020
AXIS BANK LTD.,49545,JUPITER WAGONS LTD.,31-03-2020
AXIS BANK LTD.,400943,JUST DIAL LTD.,31-03-2020
AXIS BANK LTD.,200675,K C D INDUSTRIES INDIA LTD.,31-03-2020
AXIS BANK LTD.,648602,K C K INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,531381,K P I GREEN ENERGY LTD.,31-03-2020
AXIS BANK LTD.,118314,KAVERI SEED CO. LTD.,31-03-2020
AXIS BANK LTD.,243812,KEERTHI INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,260321,KELLTON TECH SOLUTIONS LTD.,31-03-2020
AXIS BANK LTD.,119099,KEN FINANCIAL SERVICES LTD.,31-03-2020
AXIS BANK LTD.,119482,KESORAM INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,122100,KOME-ON COMMUNICATION LTD.,31-03-2020
AXIS BANK LTD.,376597,L G B FORGE LTD.,31-03-2020
AXIS BANK LTD.,125272,L G BALAKRISHNAN & BROS. LTD.,31-03-2020
AXIS BANK LTD.,126020,LADDERUP FINANCE LTD.,31-03-2020
AXIS BANK LTD.,518941,LANCER CONTAINER LINES LTD.,31-03-2020
AXIS BANK LTD.,122176,LANDMARK PROPERTY DEVP. CO. LTD.,31-03-2020
AXIS BANK LTD.,544735,LASA SUPERGENERICS LTD.,31-03-2020
AXIS BANK LTD.,374851,LAURUS LABS LTD.,31-03-2020
AXIS BANK LTD.,127712,LEADING LEASING FINANCE & INVST. CO. LTD.,31-03-2020
AXIS BANK LTD.,371089,LEMON TREE HOTELS LTD.,31-03-2020
AXIS BANK LTD.,135690,M M P INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,263788,M P F SYSTEMS LTD.,31-03-2020
AXIS BANK LTD.,577807,MACPOWER C N C MACHINES LTD.,31-03-2020
AXIS BANK LTD.,134113,MADHUCON PROJECTS LTD.,31-03-2020
AXIS BANK LTD.,134294,MADHUSUDAN SECURITIES LTD.,31-03-2020
AXIS BANK LTD.,135467,MAHAN INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,135862,MAHAVEER INFOWAY LTD.,31-03-2020
AXIS BANK LTD.,207990,MAHAVIR INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,136443,MAHINDRA & MAHINDRA FINANCIAL SERVICES LTD.,31-03-2020
AXIS BANK LTD.,510229,MAJESTIC RESEARCH SERVICES & SOLUTIONS LTD.,31-03-2020
AXIS BANK LTD.,414627,MANAKSIA STEELS LTD.,31-03-2020
AXIS BANK LTD.,137828,MANAPPURAM FINANCE LTD.,31-03-2020
AXIS BANK LTD.,138378,MANGALORE CHEMICALS & FERTILIZERS LTD.,31-03-2020
AXIS BANK LTD.,175908,MARATHON NEXTGEN REALTY LTD.,31-03-2020
AXIS BANK LTD.,324892,MAX HEALTHCARE INSTITUTE LTD.,31-03-2020
AXIS BANK LTD.,143377,MEGASOFT LTD.,31-03-2020
AXIS BANK LTD.,572157,MEHAI TECHNOLOGY LTD.,31-03-2020
AXIS BANK LTD.,143862,MEHTA HOUSING FINANCE LTD.,31-03-2020
AXIS BANK LTD.,144194,MENON BEARINGS LTD.,31-03-2020
AXIS BANK LTD.,146456,MINDTECK (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,146610,MINOLTA FINANCE LTD.,31-03-2020
AXIS BANK LTD.,147671,MODERN SHARES & STOCKBROKERS LTD.,31-03-2020
AXIS BANK LTD.,147825,MODI RUBBER LTD.,31-03-2020
AXIS BANK LTD.,523647,MOHINI HEALTH & HYGIENE LTD.,31-03-2020
AXIS BANK LTD.,85649,MORGANITE CRUCIBLE (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,432004,MUKTA AGRICULTURE LTD.,31-03-2020
AXIS BANK LTD.,150725,MULTIPLUS HOLDINGS LTD.,31-03-2020
AXIS BANK LTD.,151314,MUTHOOT CAPITAL SERVICES LTD.,31-03-2020
AXIS BANK LTD.,432005,MYSTIC ELECTRONICS LTD.,31-03-2020
AXIS BANK LTD.,151756,N C L INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,152699,N R INTERNATIONAL LTD.,31-03-2020
AXIS BANK LTD.,185711,N T C INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,547344,NANDANI CREATION LTD.,31-03-2020
AXIS BANK LTD.,496160,NAYSAA SECURITIES LTD.,31-03-2020
AXIS BANK LTD.,157827,NESTLE INDIA LTD.,31-12-2019
AXIS BANK LTD.,158951,NEXUS SURGICAL & MEDICARE LTD.,31-03-2020
AXIS BANK LTD.,159636,NILA INFRASTRUCTURES LTD.,31-03-2020
AXIS BANK LTD.,80221,NILA SPACES LTD.,31-03-2020
AXIS BANK LTD.,161788,NOUVEAU GLOBAL VENTURES LTD.,31-03-2020
AXIS BANK LTD.,193697,NUTRICIRCLE LTD.,31-03-2020
AXIS BANK LTD.,163053,OCTAL CREDIT CAPITAL LTD.,31-03-2020
AXIS BANK LTD.,253022,OPTIMUS FINANCE LTD.,31-03-2020
AXIS BANK LTD.,164499,ORACLE CREDIT LTD.,31-03-2020
AXIS BANK LTD.,380647,ORIENT GREEN POWER CO. LTD.,31-03-2020
AXIS BANK LTD.,165018,ORIENTAL TRIMEX LTD.,31-03-2020
AXIS BANK LTD.,165138,ORISSA BENGAL CARRIER LTD.,31-03-2020
AXIS BANK LTD.,443251,P D S LTD.,31-03-2020
AXIS BANK LTD.,60505,PACHELI INDUSTRIAL FINANCE LTD.,31-03-2020
AXIS BANK LTD.,169324,PANACEA BIOTEC LTD.,31-03-2020
AXIS BANK LTD.,169725,PANJON LTD.,31-03-2020
AXIS BANK LTD.,171585,PARMESHWARI SILK MILLS LTD.,31-03-2020
AXIS BANK LTD.,171787,PARSVNATH DEVELOPERS LTD.,31-03-2020
AXIS BANK LTD.,174683,PETRONET L N G LTD.,31-03-2020
AXIS BANK LTD.,176937,POLYLINK POLYMERS (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,176978,POLYPLEX CORPORATION LTD.,31-03-2020
AXIS BANK LTD.,162111,PRESSMAN ADVERTISING LTD.,31-03-2020
AXIS BANK LTD.,499560,PRIME FRESH LTD.,31-03-2020
AXIS BANK LTD.,181972,PRISM JOHNSON LTD.,31-03-2020
AXIS BANK LTD.,115279,PRISMX GLOBAL VENTURES LTD.,31-03-2020
AXIS BANK LTD.,163052,PRITHVI EXCHANGE (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,184156,PURITY FLEX PACK LTD.,31-03-2020
AXIS BANK LTD.,53330,PURSHOTTAM INVESTOFIN LTD.,31-03-2020
AXIS BANK LTD.,171603,Q G O FINANCE LTD.,31-03-2020
AXIS BANK LTD.,184987,QUANTUM BUILD-TECH LTD.,31-03-2020
AXIS BANK LTD.,445202,QUESS CORP LTD.,31-03-2020
AXIS BANK LTD.,185713,R D B RASAYANS LTD.,31-03-2020
AXIS BANK LTD.,381210,R D B REALTY & INFRASTRUCTURE LTD.,31-03-2020
AXIS BANK LTD.,201111,R E C LTD.,31-03-2020
AXIS BANK LTD.,187468,R R FINANCIAL CONSULTANTS LTD.,31-03-2020
AXIS BANK LTD.,187963,R S SOFTWARE (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,188106,R SYSTEMS INTERNATIONAL LTD.,31-12-2019
AXIS BANK LTD.,189566,RAILTEL CORPORATION OF INDIA LTD.,31-03-2020
AXIS BANK LTD.,190319,RAJAPALAYAM MILLS LTD.,31-03-2020
AXIS BANK LTD.,191497,RAJKAMAL SYNTHETICS LTD.,31-03-2020
AXIS BANK LTD.,191702,RAJOO ENGINEERS LTD.,31-03-2020
AXIS BANK LTD.,191774,RAJPUTANA INVESTMENT & FINANCE LTD.,31-03-2020
AXIS BANK LTD.,192864,RAMCO SYSTEMS LTD.,31-03-2020
AXIS BANK LTD.,566304,RAW EDGE INDUSTRIAL SOLUTIONS LTD.,31-03-2020
AXIS BANK LTD.,195939,REDINGTON (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,196608,RELIANCE POWER LTD.,31-03-2020
AXIS BANK LTD.,561685,RIDDHI CORPORATE SERVICES LTD.,31-03-2020
AXIS BANK LTD.,183699,RISHIROOP LTD.,31-03-2020
AXIS BANK LTD.,330293,RITCO LOGISTICS LTD.,31-03-2020
AXIS BANK LTD.,189557,RITES LTD.,31-03-2020
AXIS BANK LTD.,198534,RITESH PROPERTIES & INDS. LTD.,31-03-2020
AXIS BANK LTD.,200256,ROYAL CUSHION VINYL PRODUCTS LTD.,31-03-2020
AXIS BANK LTD.,201607,S B E C SUGAR LTD.,31-03-2020
AXIS BANK LTD.,204381,S P A CAPITAL SERVICES LTD.,31-03-2020
AXIS BANK LTD.,204548,S P L INDUSTRIES LTD. (DELHI),31-03-2020
AXIS BANK LTD.,94683,S R M ENERGY LTD.,31-03-2020
AXIS BANK LTD.,206013,S V TRADING & AGENCIES LTD.,31-03-2020
AXIS BANK LTD.,20352,SAFAL SECURITIES LTD.,31-03-2020
AXIS BANK LTD.,206802,SAFARI INDUSTRIES (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,433458,SAGARDEEP ALLOYS LTD.,31-03-2020
AXIS BANK LTD.,207164,SAGARSOFT (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,208602,SAKTHI SUGARS LTD.,31-03-2020
AXIS BANK LTD.,210394,SANDU PHARMACEUTICALS LTD.,31-03-2020
AXIS BANK LTD.,557652,SANGHVI BRANDS LTD.,31-03-2020
AXIS BANK LTD.,412568,SANGINITA CHEMICALS LTD.,31-03-2020
AXIS BANK LTD.,189737,SARDA ENERGY & MINERALS LTD.,31-03-2020
AXIS BANK LTD.,212844,SARDA PAPERS LTD.,31-03-2020
AXIS BANK LTD.,215199,SCANPOINT GEOMATICS LTD.,31-03-2020
AXIS BANK LTD.,171151,SESHACHAL TECHNOLOGIES LTD.,31-03-2020
AXIS BANK LTD.,218070,SHAKTI PUMPS (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,590775,SHANKAR LAL RAMPAL DYE-CHEM LTD.,31-03-2020
AXIS BANK LTD.,219449,SHARP INVESTMENTS LTD.,31-03-2020
AXIS BANK LTD.,220954,SHIV KAMAL IMPEX LTD.,31-03-2020
AXIS BANK LTD.,221948,SHOPPERS STOP LTD.,31-03-2020
AXIS BANK LTD.,222585,SHREE GANESH REMEDIES LTD.,31-03-2020
AXIS BANK LTD.,222856,SHREE KARTHIK PAPERS LTD.,31-03-2020
AXIS BANK LTD.,223422,SHREE RENUKA SUGARS LTD.,31-03-2020
AXIS BANK LTD.,583556,SHREEOSWAL SEEDS & CHEMICALS LTD.,31-03-2020
AXIS BANK LTD.,224195,SHREEVATSAA FINANCE & LEASING LTD.,31-03-2020
AXIS BANK LTD.,225395,SHRIRAM CITY UNION FINANCE LTD.,31-03-2020
AXIS BANK LTD.,231670,SICAL LOGISTICS LTD.,31-03-2020
AXIS BANK LTD.,227036,SIGNET INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,230159,SOFTSOL INDIA LTD.,31-03-2020
AXIS BANK LTD.,230671,SOMA TEXTILES & INDS. LTD.,31-03-2020
AXIS BANK LTD.,589303,SPECTRUM ELECTRICAL INDS. LTD.,31-03-2020
AXIS BANK LTD.,570862,SPENCER'S RETAIL LTD.,31-03-2020
AXIS BANK LTD.,535582,SPICY ENTERTAINMENT & MEDIA LTD.,31-03-2020
AXIS BANK LTD.,233845,SRI ADHIKARI BROTHERS TELEVISION NETWORK LTD.,31-03-2020
AXIS BANK LTD.,363,STARLOG ENTERPRISES LTD.,31-03-2020
AXIS BANK LTD.,236460,STEEL AUTHORITY OF INDIA LTD.,31-03-2020
AXIS BANK LTD.,236511,STEEL STRIPS WHEELS LTD.,31-03-2020
AXIS BANK LTD.,236922,STERLITE TECHNOLOGIES LTD.,31-03-2020
AXIS BANK LTD.,237137,STOVEC INDUSTRIES LTD.,31-12-2019
AXIS BANK LTD.,189546,STRATMONT INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,237266,STRIDES PHARMA SCIENCE LTD.,31-03-2020
AXIS BANK LTD.,238381,SUDITI INDUSTRIES LTD.,31-03-2020
AXIS BANK LTD.,238416,SUGAL & DAMANI SHARE BROKERS LTD.,31-03-2020
AXIS BANK LTD.,241619,SUMUKA AGRO INDS. LTD.,31-03-2020
AXIS BANK LTD.,239792,SUN T V NETWORK LTD.,31-03-2020
AXIS BANK LTD.,215192,SUNEDISON INFRASTRUCTURE LTD.,31-03-2020
AXIS BANK LTD.,241295,SUPER BAKERS (INDIA) LTD.,31-03-2020
AXIS BANK LTD.,241702,SUPERIOR FINLEASE LTD.,31-03-2020
AXIS BANK LTD.,484796,SUPERNOVA ADVERTISING LTD.,31-03-2020
