symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,count,nskew,duvol,ic_count,ic_nskew,ic_duvol,nic_prod_code,co_industry_name
SBIN.NS,STATE BANK OF INDIA,12517,AMARA RAJA BATTERIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.0728074309475797,-0.0710184790918033,0,0.712488759590799,0.2487155234176899,27,Storage batteries
SBIN.NS,STATE BANK OF INDIA,12517,AMARA RAJA BATTERIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-1.1779726280571172,-0.5375917903285649,0,0.712488759590799,0.2487155234176899,27,Storage batteries
SBIN.NS,STATE BANK OF INDIA,504951,AMIN TANNERY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.3814402301329351,0.1729359482370304,0,0.3625579724397504,0.5178014638905565,15,Other leather & related products
SBIN.NS,STATE BANK OF INDIA,504951,AMIN TANNERY LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.0349669470799732,0.1607772807791795,0,0.3625579724397504,0.5178014638905565,15,Other leather & related products
SBIN.NS,STATE BANK OF INDIA,13499,AMINES & PLASTICIZERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.1188880734777965,-0.2343947796733353,-1,-1.7198024417813589,-0.760096417761764,20,Organic chemicals
SBIN.NS,STATE BANK OF INDIA,13499,AMINES & PLASTICIZERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.121494149146816,-0.1416036203755024,-1,-1.7198024417813589,-0.760096417761764,20,Organic chemicals
SBIN.NS,STATE BANK OF INDIA,14897,ANANT RAJ LTD.,NSE,0.247401023,0.00161674,1,Public,0,-1,-0.6781547348214192,-0.4353343176556392,-1,-1.0416205723566294,-0.5714964479356636,41,Other construction & allied activities
SBIN.NS,STATE BANK OF INDIA,14897,ANANT RAJ LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.4834112967663319,-0.5927218638934423,-1,-1.0416205723566294,-0.5714964479356636,41,Other construction & allied activities
SBIN.NS,STATE BANK OF INDIA,15270,ANDHRA PAPER LTD.,NSE,0.247401023,0.00161674,1,Public,0,3,2.4556988823233104,1.5944572745908128,-1,-1.2840397175032998,-0.7939996304654234,17,Paper & newsprint
SBIN.NS,STATE BANK OF INDIA,15270,ANDHRA PAPER LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.3818197740324508,-0.1823512252764139,-1,-1.2840397175032998,-0.7939996304654234,17,Paper & newsprint
SBIN.NS,STATE BANK OF INDIA,15246,ANDHRA PETROCHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,0,-1,-0.5207248160146039,-0.3760064149195472,-2,-0.7500917349536301,-0.4295025363875707,20,Organic chemicals
SBIN.NS,STATE BANK OF INDIA,15246,ANDHRA PETROCHEMICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,0.5332701397778731,0.2235892825371756,-2,-0.7500917349536301,-0.4295025363875707,20,Organic chemicals
SBIN.NS,STATE BANK OF INDIA,520921,ANGEL FIBERS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.5246567854720845,0.87503821607109,0,0.4667848366318686,0.4937697588079893,13,Cotton & blended yarn
SBIN.NS,STATE BANK OF INDIA,520921,ANGEL FIBERS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.603770832708859,0.4238571672293763,0,0.4667848366318686,0.4937697588079893,13,Cotton & blended yarn
SBIN.NS,STATE BANK OF INDIA,16198,ANJANI SYNTHETICS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.0230248897496643,0.2873824760325305,-1,-0.4063759349244074,-0.4079326630352861,13,Cloth
SBIN.NS,STATE BANK OF INDIA,16198,ANJANI SYNTHETICS LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.3637245322935327,-0.6229734754271217,-1,-0.4063759349244074,-0.4079326630352861,13,Cloth
SBIN.NS,STATE BANK OF INDIA,17809,APCOTEX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.181576564517398,-0.6281151576459492,1,0.1472532242129127,0.0169479003415707,20,Synthetic rubber
SBIN.NS,STATE BANK OF INDIA,17809,APCOTEX INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,9.359256060269372,2.9776699888087808,1,0.1472532242129127,0.0169479003415707,20,Synthetic rubber
SBIN.NS,STATE BANK OF INDIA,457276,APOLLO MICRO SYSTEMS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-2,-1.9044403523686095,-1.0485713847993048,-3,-2.42263972690085,-1.4326176298266249,26,Other electronics
SBIN.NS,STATE BANK OF INDIA,457276,APOLLO MICRO SYSTEMS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.516428349686428,-1.2252257763920036,-3,-2.42263972690085,-1.4326176298266249,26,Other electronics
SBIN.NS,STATE BANK OF INDIA,377163,ARCHIDPLY INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,0.0050049390555026,-0.2849080494390477,-1,-0.9693369146517824,-0.8171546415377824,16,Wood & wood products
SBIN.NS,STATE BANK OF INDIA,377163,ARCHIDPLY INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.1899460807870703,-0.3969872108212794,-1,-0.9693369146517824,-0.8171546415377824,16,Wood & wood products
SBIN.NS,STATE BANK OF INDIA,19291,AREX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.3283100898736336,0.1172544140429287,0,0.605585652177332,0.8860228510947914,13,Other textiles
SBIN.NS,STATE BANK OF INDIA,19291,AREX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.0559836174780654,0.2672219086854074,0,0.605585652177332,0.8860228510947914,13,Other textiles
SBIN.NS,STATE BANK OF INDIA,21042,ARVIND LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.0401005647260392,-0.1979565774130176,0,0.9424661154683232,0.2085623088116329,13,Cloth
SBIN.NS,STATE BANK OF INDIA,21042,ARVIND LTD.,BSE,0.247401023,0.00161674,1,Public,1,-3,-1.584430054308291,-0.7920293928663452,0,0.9424661154683232,0.2085623088116329,13,Cloth
SBIN.NS,STATE BANK OF INDIA,21290,ASAHI SONGWON COLORS LTD.,BSE,0.247401023,0.00161674,1,Public,1,-1,-0.2893055532960868,-0.3177058086156951,-1,-0.5103968670563496,-0.3952611178506747,20,Dyes & pigments
SBIN.NS,STATE BANK OF INDIA,21290,ASAHI SONGWON COLORS LTD.,NSE,0.247401023,0.00161674,1,Public,0,-2,-0.522362531411106,-0.4028216054566243,-1,-0.5103968670563496,-0.3952611178506747,20,Dyes & pigments
SBIN.NS,STATE BANK OF INDIA,21667,ASHIANA ISPAT LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.0702328400417784,0.1364061715160044,0,0.1391378383704337,0.368642358212189,24,Steel
SBIN.NS,STATE BANK OF INDIA,21667,ASHIANA ISPAT LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.0353499575345772,0.655364145647611,0,0.1391378383704337,0.368642358212189,24,Steel
SBIN.NS,STATE BANK OF INDIA,22855,ASIAN ENERGY SERVICES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.4295415204462908,-0.448401564480362,0,-0.0432632355090346,-0.131541737341977,43,Industrial construction
SBIN.NS,STATE BANK OF INDIA,22855,ASIAN ENERGY SERVICES LTD.,BSE,0.247401023,0.00161674,1,Public,0,-3,-1.6397227095375653,-1.0737281089874806,0,-0.0432632355090346,-0.131541737341977,43,Industrial construction
SBIN.NS,STATE BANK OF INDIA,263285,ASIAN GRANITO INDIA LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.0451290310731038,-0.1081991695556835,-1,-0.4334716975361537,-0.7042442573882679,46,Wholesale trading
SBIN.NS,STATE BANK OF INDIA,263285,ASIAN GRANITO INDIA LTD.,BSE,0.247401023,0.00161674,1,Public,1,-2,-1.0367746448649753,-0.4240763843279305,-1,-0.4334716975361537,-0.7042442573882679,46,Wholesale trading
SBIN.NS,STATE BANK OF INDIA,24967,AUTOMOBILE CORPN. OF GOA LTD.,BSE,0.247401023,0.00161674,1,Public,0,-1,-0.5386097092211601,-0.4408521429232225,0,0.1678600205227755,0.0844793439763788,29,Other automobile ancillaries
