,index,co_code,company_name,co_stkdate,nse_closing_price,nse_returns
76,41469,11,20 MICRONS LTD.,2019-04-23,38.0,1.02
77,41470,11,20 MICRONS LTD.,2019-04-24,38.0,1.0
78,41471,11,20 MICRONS LTD.,2019-04-25,38.45,1.01
79,41472,11,20 MICRONS LTD.,2019-04-26,37.9,0.99
80,41473,11,20 MICRONS LTD.,2019-04-30,37.1,0.98
81,41474,11,20 MICRONS LTD.,2019-05-02,38.3,1.03
82,41475,11,20 MICRONS LTD.,2019-05-03,37.6,0.98
83,41476,11,20 MICRONS LTD.,2019-05-06,37.3,0.99
84,41477,11,20 MICRONS LTD.,2019-05-07,37.0,0.99
85,41478,11,20 MICRONS LTD.,2019-05-08,35.5,0.96
86,41479,11,20 MICRONS LTD.,2019-05-09,34.95,0.98
87,41480,11,20 MICRONS LTD.,2019-05-10,34.7,0.99
88,41481,11,20 MICRONS LTD.,2019-05-13,34.15,0.98
89,41482,11,20 MICRONS LTD.,2019-05-14,34.05,1.0
90,41483,11,20 MICRONS LTD.,2019-05-15,33.85,0.99
91,41484,11,20 MICRONS LTD.,2019-05-16,32.3,0.95
92,41485,11,20 MICRONS LTD.,2019-05-17,33.5,1.04
93,41486,11,20 MICRONS LTD.,2019-05-20,36.35,1.09
94,41487,11,20 MICRONS LTD.,2019-05-21,34.95,0.96
95,41488,11,20 MICRONS LTD.,2019-05-22,36.3,1.04
96,41489,11,20 MICRONS LTD.,2019-05-23,37.3,1.03
97,41490,11,20 MICRONS LTD.,2019-05-24,39.7,1.06
98,41491,11,20 MICRONS LTD.,2019-05-27,41.7,1.05
99,41492,11,20 MICRONS LTD.,2019-05-28,41.0,0.98
100,41493,11,20 MICRONS LTD.,2019-05-29,42.1,1.03
101,41494,11,20 MICRONS LTD.,2019-05-30,42.2,1.0
102,41495,11,20 MICRONS LTD.,2019-05-31,40.6,0.96
103,41496,11,20 MICRONS LTD.,2019-06-03,39.65,0.98
104,41497,11,20 MICRONS LTD.,2019-06-04,39.9,1.01
