symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,binary,nskew,duvol,ic_binary,ic_nskew,ic_duvol,roa,levarage,nic_prod_code
SBIN.NS,STATE BANK OF INDIA,377163,ARCHIDPLY INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,-0.126597077,-0.391861947,0,-0.642218209,-0.523753835,0.9231,0.528,16
SBIN.NS,STATE BANK OF INDIA,377163,ARCHIDPLY INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,-0.004151816,-0.244312704,0,-0.642218209,-0.523753835,0.9231,0.528,16
SBIN.NS,STATE BANK OF INDIA,19291,AREX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.395525239,0.755571966,0,0.877752519,1.137610607,6.9988,1.2442,13
SBIN.NS,STATE BANK OF INDIA,19291,AREX INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.238695595,-0.495550044,0,0.877752519,1.137610607,6.9988,1.2442,13
SBIN.NS,STATE BANK OF INDIA,21042,ARVIND LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,0.388188647,0.203099262,1,1.405543312,0.628976121,3.2334,0.8114,13
SBIN.NS,STATE BANK OF INDIA,21042,ARVIND LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.723329284,-0.902789244,1,1.405543312,0.628976121,3.2334,0.8114,13
SBIN.NS,STATE BANK OF INDIA,21290,ASAHI SONGWON COLORS LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,-0.453747195,-0.453677859,1,0.02323671,0.017476973,8.1467,0.4212,20
SBIN.NS,STATE BANK OF INDIA,21290,ASAHI SONGWON COLORS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.579640455,-0.456860455,1,0.02323671,0.017476973,8.1467,0.4212,20
SBIN.NS,STATE BANK OF INDIA,21667,ASHIANA ISPAT LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,0.506149836,0.82359428,0,0.633054418,0.911399039,3.5529,1.0927,24
SBIN.NS,STATE BANK OF INDIA,21667,ASHIANA ISPAT LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.181550551,0.856323294,0,0.633054418,0.911399039,3.5529,1.0927,24
SBIN.NS,STATE BANK OF INDIA,22855,ASIAN ENERGY SERVICES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.509974553,-0.520922265,0,-0.092081013,-0.178765446,-9.9516,0.1261,43
SBIN.NS,STATE BANK OF INDIA,22855,ASIAN ENERGY SERVICES LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-1.828861227,-1.262632423,0,-0.092081013,-0.178765446,-9.9516,0.1261,43
SBIN.NS,STATE BANK OF INDIA,263285,ASIAN GRANITO INDIA LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,0.104181168,0.031391458,0,-0.756849064,-0.98817033,4.0122,0.4177,46
SBIN.NS,STATE BANK OF INDIA,263285,ASIAN GRANITO INDIA LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.177963428,-0.540318022,0,-0.756849064,-0.98817033,4.0122,0.4177,46
SBIN.NS,STATE BANK OF INDIA,24967,AUTOMOBILE CORPN. OF GOA LTD.,BSE,0.247401023,0.00161674,1,Public,0,0,-0.714709789,-0.616405511,0,0.612951209,0.490108006,6.7786,0.0291,29
SBIN.NS,STATE BANK OF INDIA,24967,AUTOMOBILE CORPN. OF GOA LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.054850329,0.624222422,0,0.612951209,0.490108006,6.7786,0.0291,29
SBIN.NS,STATE BANK OF INDIA,520494,AVADH SUGAR & ENERGY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.204262164,-0.227401659,0,-1.660538393,-1.368570132,3.6241,3.5749,10
SBIN.NS,STATE BANK OF INDIA,520494,AVADH SUGAR & ENERGY LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.177561423,-0.06078583,0,-1.660538393,-1.368570132,3.6241,3.5749,10
SBIN.NS,STATE BANK OF INDIA,25176,AVANTI FEEDS LTD.,BSE,0.247401023,0.00161674,1,Public,1,1,-0.277992614,-0.310799473,0,-1.136178229,-0.652450895,38.9294,0,10
SBIN.NS,STATE BANK OF INDIA,25176,AVANTI FEEDS LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,-0.885793227,-0.92567143,0,-1.136178229,-0.652450895,38.9294,0,10
SBIN.NS,STATE BANK OF INDIA,33723,B E M L LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.196221886,-0.217003726,1,-0.021538405,-0.267341057,1.1864,0.2024,34
SBIN.NS,STATE BANK OF INDIA,33723,B E M L LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,0.152636683,-0.544804968,1,-0.021538405,-0.267341057,1.1864,0.2024,34
SBIN.NS,STATE BANK OF INDIA,76161,B G R ENERGY SYSTEMS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.882498229,-1.290583137,0,-1.120960593,-0.484195422,0.5039,1.5859,42
SBIN.NS,STATE BANK OF INDIA,76161,B G R ENERGY SYSTEMS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-1.397454696,-0.566583578,0,-1.120960593,-0.484195422,0.5039,1.5859,42
SBIN.NS,STATE BANK OF INDIA,442197,B K M INDUSTRIES LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.324158238,-1.132456523,0,0.862617726,0.879875662,2.1066,0.8065,34
SBIN.NS,STATE BANK OF INDIA,442197,B K M INDUSTRIES LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,0.533154369,0.887813361,0,0.862617726,0.879875662,2.1066,0.8065,34
SBIN.NS,STATE BANK OF INDIA,26964,B L KASHYAP & SONS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,0.054346888,0.125059837,0,-0.154913493,-0.007920754,3.1803,0.9844,42
SBIN.NS,STATE BANK OF INDIA,26964,B L KASHYAP & SONS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.077329466,-0.277629554,0,-0.154913493,-0.007920754,3.1803,0.9844,42
SBIN.NS,STATE BANK OF INDIA,27739,B S E L INFRASTRUCTURE REALTY LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.138570158,-0.907089625,0,-0.817474477,-0.11489472,0.109,0,64
SBIN.NS,STATE BANK OF INDIA,27739,B S E L INFRASTRUCTURE REALTY LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.145539885,0.65808976,0,-0.817474477,-0.11489472,0.109,0,64
SBIN.NS,STATE BANK OF INDIA,27798,B S L LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.60509877,-0.44446181,0,-1.334097701,-0.437725254,-0.1076,2.2562,13
SBIN.NS,STATE BANK OF INDIA,27798,B S L LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.922170698,-0.572208815,0,-1.334097701,-0.437725254,-0.1076,2.2562,13
SBIN.NS,STATE BANK OF INDIA,28503,BAFNA PHARMACEUTICALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,0,-0.022739703,0.023119324,1,-0.407528265,-0.213339999,-11.3106,1.1638,21
SBIN.NS,STATE BANK OF INDIA,28503,BAFNA PHARMACEUTICALS LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-1.272057705,-2.63543344,1,-0.407528265,-0.213339999,-11.3106,1.1638,21
SBIN.NS,STATE BANK OF INDIA,374518,BAJAJ AUTO LTD.,BSE,0.247401023,0.00161674,1,Public,1,0,-0.573890995,-0.232022771,0,0.311252588,0.228459778,17.9217,0.0063,30
SBIN.NS,STATE BANK OF INDIA,374518,BAJAJ AUTO LTD.,NSE,0.247401023,0.00161674,1,Public,0,1,-0.143345502,-0.246358814,0,0.311252588,0.228459778,17.9217,0.0063,30
SBIN.NS,STATE BANK OF INDIA,28920,BAJAJ ELECTRICALS LTD.,NSE,0.247401023,0.00161674,1,Public,0,2,1.140238903,1.033942346,0,-0.457010639,-0.110875984,2.1393,0.7661,46
