symbol,banker_name,co_code,company_name,exchange,beta,mes,vulnerable,type,time,binary,nskew,duvol
SBIN.NS,STATE BANK OF INDIA,457276,APOLLO MICRO SYSTEMS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.14108701709805102,-0.6159663719849042
SBIN.NS,STATE BANK OF INDIA,377163,ARCHIDPLY INDUSTRIES LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.009748370993863132,0.036218986453150484
SBIN.NS,STATE BANK OF INDIA,377163,ARCHIDPLY INDUSTRIES LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,-0.0003838354822027301,0.033933801978552176
SBIN.NS,STATE BANK OF INDIA,21042,ARVIND LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.12332700221215298,-0.6790895012557631
SBIN.NS,STATE BANK OF INDIA,21042,ARVIND LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.03588805310101554,0.3052870597553271
SBIN.NS,STATE BANK OF INDIA,21290,ASAHI SONGWON COLORS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.05358777900270437,-0.3350334763261706
SBIN.NS,STATE BANK OF INDIA,21290,ASAHI SONGWON COLORS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.0054785013806561336,-0.0834734679022355
SBIN.NS,STATE BANK OF INDIA,22855,ASIAN ENERGY SERVICES LTD.,BSE,0.247401023,0.00161674,True,Public,0,0,-0.16907828022097335,-1.159357865241028
SBIN.NS,STATE BANK OF INDIA,22855,ASIAN ENERGY SERVICES LTD.,BSE,0.247401023,0.00161674,True,Public,1,0,-0.042794606139496434,-0.36957973854414516
SBIN.NS,STATE BANK OF INDIA,263285,ASIAN GRANITO INDIA LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,-0.005233864053713062,0.0677319226812812
SBIN.NS,STATE BANK OF INDIA,263285,ASIAN GRANITO INDIA LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,0.00963155237093016,-0.05709666902975232
SBIN.NS,STATE BANK OF INDIA,24967,AUTOMOBILE CORPN. OF GOA LTD.,BSE,0.247401023,0.00161674,True,Public,0,0,-0.06607494336701315,-0.5602160936564401
SBIN.NS,STATE BANK OF INDIA,24967,AUTOMOBILE CORPN. OF GOA LTD.,BSE,0.247401023,0.00161674,True,Public,1,1,0.14551295235240763,0.7927291852094668
SBIN.NS,STATE BANK OF INDIA,520494,AVADH SUGAR & ENERGY LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.05823500228825042,0.43769225915596816
SBIN.NS,STATE BANK OF INDIA,520494,AVADH SUGAR & ENERGY LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.01641555936446808,-0.04628176039869338
SBIN.NS,STATE BANK OF INDIA,25176,AVANTI FEEDS LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.02456717277438595,0.16304476522576855
SBIN.NS,STATE BANK OF INDIA,25176,AVANTI FEEDS LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,-0.0818916127593377,-0.908301099166524
SBIN.NS,STATE BANK OF INDIA,33723,B E M L LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.014111266326784333,-0.34963511348899035
SBIN.NS,STATE BANK OF INDIA,33723,B E M L LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.01915179184554463,-0.06820766499574787
SBIN.NS,STATE BANK OF INDIA,76161,B G R ENERGY SYSTEMS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.12919473235495418,-0.4431085725353295
SBIN.NS,STATE BANK OF INDIA,76161,B G R ENERGY SYSTEMS LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,-0.0634902114478771,-0.4588764896914626
SBIN.NS,STATE BANK OF INDIA,442197,B K M INDUSTRIES LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,0.04929013885107105,0.9375080096361473
SBIN.NS,STATE BANK OF INDIA,442197,B K M INDUSTRIES LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.015985786962373922,-0.3086933775479518
SBIN.NS,STATE BANK OF INDIA,26964,B L KASHYAP & SONS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.007149111678351893,-0.17517673810935255
SBIN.NS,STATE BANK OF INDIA,26964,B L KASHYAP & SONS LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.1313919034102492,0.41824763192297726
SBIN.NS,STATE BANK OF INDIA,27739,B S E L INFRASTRUCTURE REALTY LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.010493418948471101,-0.4243496586401272
SBIN.NS,STATE BANK OF INDIA,27739,B S E L INFRASTRUCTURE REALTY LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.013455167111531958,0.1616965379124568
SBIN.NS,STATE BANK OF INDIA,27798,B S L LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.05594140111578854,-0.47951345791810074
SBIN.NS,STATE BANK OF INDIA,27798,B S L LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.04073222252201965,-0.38336686624797867
SBIN.NS,STATE BANK OF INDIA,374518,BAJAJ AUTO LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.005864177843187906,-0.020405716691459925
SBIN.NS,STATE BANK OF INDIA,374518,BAJAJ AUTO LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,-0.01325229635520346,-0.23418826994779204
SBIN.NS,STATE BANK OF INDIA,28920,BAJAJ ELECTRICALS LTD.,NSE,0.247401023,0.00161674,True,Public,1,0,-0.06230943411180184,-0.5558655312610108
SBIN.NS,STATE BANK OF INDIA,28920,BAJAJ ELECTRICALS LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.10541512382996145,1.1825942725600536
SBIN.NS,STATE BANK OF INDIA,29258,BALAJI AMINES LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,-0.009206034031785994,-0.1628900653857938
SBIN.NS,STATE BANK OF INDIA,29258,BALAJI AMINES LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.03383836003254571,-0.44060843621587753
SBIN.NS,STATE BANK OF INDIA,327425,BALMER LAWRIE INVSTS. LTD.,BSE,0.247401023,0.00161674,True,Public,0,1,0.3951210974867417,1.214065154030616
SBIN.NS,STATE BANK OF INDIA,327425,BALMER LAWRIE INVSTS. LTD.,BSE,0.247401023,0.00161674,True,Public,1,1,0.0637047468610333,0.1603085554341485
SBIN.NS,STATE BANK OF INDIA,29728,BALRAMPUR CHINI MILLS LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.03203184863678327,-0.012365368348397977
SBIN.NS,STATE BANK OF INDIA,29728,BALRAMPUR CHINI MILLS LTD.,NSE,0.247401023,0.00161674,True,Public,0,0,-0.058997671578243004,-0.19359327643128052
SBIN.NS,STATE BANK OF INDIA,29785,BALURGHAT TECHNOLOGIES LTD.,BSE,0.247401023,0.00161674,True,Public,0,0,-0.04045662917769474,-0.6438898893847718
SBIN.NS,STATE BANK OF INDIA,29785,BALURGHAT TECHNOLOGIES LTD.,BSE,0.247401023,0.00161674,True,Public,1,0,0.005752524900033979,0.4066305497073736
SBIN.NS,STATE BANK OF INDIA,29909,BANCO PRODUCTS (INDIA) LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,0.014523052958452277,-0.037337803959164216
SBIN.NS,STATE BANK OF INDIA,29909,BANCO PRODUCTS (INDIA) LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.12863168828634952,0.35932996303786396
SBIN.NS,STATE BANK OF INDIA,30882,BASANT AGRO TECH (INDIA) LTD.,BSE,0.247401023,0.00161674,True,Public,0,0,-0.025051553142803624,-0.00038473660202250476
SBIN.NS,STATE BANK OF INDIA,30882,BASANT AGRO TECH (INDIA) LTD.,BSE,0.247401023,0.00161674,True,Public,1,0,-0.0494637892664738,-0.28395220782456154
SBIN.NS,STATE BANK OF INDIA,31130,BATA INDIA LTD.,NSE,0.247401023,0.00161674,True,Public,0,1,-0.032502557191590606,-0.03722259846572892
SBIN.NS,STATE BANK OF INDIA,31130,BATA INDIA LTD.,NSE,0.247401023,0.00161674,True,Public,1,1,0.039551039581213795,0.3532457018048554
SBIN.NS,STATE BANK OF INDIA,31723,BEEKAY STEEL INDS. LTD.,BSE,0.247401023,0.00161674,True,Public,1,1,0.08979109702103584,0.922776963155853
